,type,name,length_km,toll,lat,lon,arg_min,volume
83,Major Highway,57,65,0,"[37.60469221315017 37.63942410296091 37.77140528424171 37.80092739058083
 37.8651813867307 37.89644008756036 37.919015815937335 37.95374770574807
 38.04405061925599 38.16561223359356 38.23854920219611 38.25244195812041
 38.26980790302577 38.27675428098792 38.278490875478454 None]","[-88.9952801799001 -88.9761776405042 -88.94318234518401 -88.94318234518401
 -88.95533850661776 -88.9570751011083 -88.95186531763669
 -88.93276277824079 -88.92234321129757 -88.90150407741112
 -88.9049772663922 -88.91192364435435 -88.92755299476917 -88.9240798057881
 -88.90324067190166 None]",1190.0,7216.258064516129
84,Secondary Highway,71,72,0,"[38.611917017661526 38.54418983253059 38.48861880883341 38.37921335592959
 38.316695954270266 38.23681260770557 38.21076369034752 38.16213904461249
 38.08746548151941 38.05447018619921 38.019738296388475 37.99542597352096
 37.91033284348465 37.89296689857929 37.84955203631586 37.8321860914105
 None]","[-94.35614737218724 -94.35614737218724 -94.34399121075347
 -94.34572780524401 -94.34399121075347 -94.34920099422509
 -94.34572780524401 -94.35788396667778 -94.34746439973455
 -94.35093758871562 -94.37524991158314 -94.37872310056422
 -94.36656693913045 -94.34920099422509 -94.34746439973455
 -94.32662526584811 None]",2626.0,1234.5862068965516
85,Major Highway,79,189,0,"[38.377476761439056 38.40526227328764 38.471252863928044
 38.492091997814484 38.51814091517254 38.55981918294542 38.571975344379176
 38.57718512785079 38.57544853336025 38.59802426173723 38.601497450718306
 38.61712680113313 38.61886339562367 38.61018042317099 38.62059999011421
 38.611917017661526 38.615390206642594 38.625809773585814
 38.63970252951011 38.653595285434406 38.66922463584924 38.686590580754604
 38.693536958716756 38.707429714641044 38.7195858760748 38.73000544301803
 38.81162538407325 38.84809386837453 38.90192829758117 38.91929424248654
 38.938396781882446 38.97312867169318 39.00612396701338 39.013070344975525
 39.01480693946606 39.02869969539036 39.0356460733525 39.051275423767336
 39.073851152144314 39.08948050255915 39.13115877033203 39.17804682157652
 39.19541276648189 39.22146168383994 39.26313995161283 39.268349735084435
 39.28224249100873 None]","[-81.60433402817546 -81.58002170530794 -81.48103581934735
 -81.44283074055554 -81.36121079950031 -81.30390318131259
 -81.28132745293561 -81.24312237414381 -81.15455605512643
 -81.0920386534671 -81.03299444078885 -81.01910168486455
 -80.99652595648757 -80.97568682260113 -80.88017412562161
 -80.8228665074339 -80.76034910577458 -80.7377733773976 -80.73603678290706
 -80.74124656637866 -80.73603678290706 -80.70130489309632
 -80.67525597573827 -80.66483640879505 -80.66657300328559
 -80.67872916471934 -80.66136321981398 -80.66309981430452
 -80.6057921961168 -80.56585052283445 -80.54327479445747 -80.5068063101562
 -80.49465014872244 -80.47728420381708 -80.45644506993064
 -80.43734253053472 -80.41303020766722 -80.40261064072399
 -80.40608382970507 -80.3939276682713 -80.38177150683755
 -80.34182983355521 -80.3175175106877 -80.30188816027285
 -80.28625880985803 -80.27757583740534 -80.26889286495266 None]",5068.0,1410.645161290323
86,Major Highway,70,89,0,"[39.99598282661936 40.0168219605058 40.046344066844924 40.053290444807075
 40.04808066133546 40.05850022827868 40.05850022827868 40.07586617318405
 40.074129578693515 40.05502703929761 40.06197341725976 None]","[-81.54355322100668 -81.47582603587574 -81.4080988507448
 -81.37163036644353 -81.26569810252079 -81.15629264961697
 -81.02952125180778 -80.90622304297966 -80.87843753113108
 -80.80723715701907 -80.75340272781243 None]",4754.0,1181.0645161290322
87,Major Highway,95,76,0,"[41.02925654848876 41.03793952094144 41.057042060337345 41.08482757218594
 41.09351054463862 41.124769245468286 41.135188812411506 41.15602794629795
 41.16471091875063 41.189023241618145 41.19770621407083 41.20812578101405
 41.24112107633425 41.2480674542964 None]","[-73.70977547419514 -73.64725807253582 -73.59516023781971
 -73.48749137940642 -73.46665224551998 -73.4249739777471
 -73.37982252099314 -73.31904171382436 -73.2738902570704
 -73.23221198929751 -73.12975291435585 -73.10891378046941
 -73.07418189065866 -73.0568159457533 None]",4161.0,19900.78260869565
88,Major Highway,9,45,0,"[41.67005991549684 41.60059613587537 41.57802040749839 41.55544467912141
 41.50334684440531 41.45819538765135 41.43909284825544 41.38699501353934
 41.341843556785385 None]","[-72.6695553743636 -72.66781877987306 -72.66087240191091
 -72.64697964598662 -72.58446224432728 -72.55320354349763
 -72.53410100410171 -72.45942744100864 -72.37954409444394 None]",4285.0,3307.925925925926
89,Major Highway,99,36,0,"[40.43881442170625 40.23563286631344 40.188744815068944 40.12101762993801
 40.09844190156103 40.08628574012727 40.049817255826 None]","[-78.43157589396472 -78.46457118928491 -78.48020053969975
 -78.52361540196317 -78.53229837441584 -78.53229837441584
 -78.51319583501994 None]",4536.0,3956.83870967742
90,Major Highway,70,32,1,"[39.98262876721888 39.99424623212882 40.00987558254365 40.00987558254365
 40.02203174397741 40.049817255826 None]","[-78.23625759680277 -78.2752823898164 -78.33085341351358
 -78.43852227192686 -78.47151756724706 -78.51319583501994 None]",5187.0,626.4444444444445
91,Major Highway,95,123,0,"[38.79252284467735 38.735215226489636 38.71263949811266 38.67790760830192
 38.65185869094387 38.62928296256689 38.552872804983274 38.47819924189019
 38.420891623702474 38.32016914325134 38.29238363140275 38.22291985178128
 38.1343535327639 38.104831426424774 38.02842126884116 37.898176682050895
 37.856498414278015 37.79745420159976 37.70541469360131 37.632477724998765
 37.61337518560286 37.590799457225884 None]","[-77.170808293835 -77.19859380568359 -77.22464272304164 -77.24895504590916
 -77.28542353021042 -77.30278947511579 -77.34273114839814 -77.406985144548
 -77.42956087292498 -77.5111808139802 -77.5198637864329 -77.50076124703699
 -77.51639059745182 -77.51639059745182 -77.50249784152753
 -77.46429276273571 -77.46081957375463 -77.46602935722625
 -77.44692681783035 -77.45040000681142 -77.45734638477357
 -77.47123914069786 None]",4721.0,12328.935483870968
93,Major Highway,55,83,0,"[39.83621613348997 39.82405997205621 39.77717192081172 39.737230247529375
 39.67992262934166 39.62956138911609 39.58614652685267 39.55488782602301
 39.492370424363685 39.462848318024555 39.42985302270436 39.40554069983684
 39.3655990265545 39.32218416429108 39.264876546103366 39.23188125078316
 39.19888595546296 39.17457363259545 39.16936384912384 39.155471093199544
 39.155471093199544 None]","[-75.0955778776435 -75.10252425560566 -75.11641701152995
 -75.14072933439746 -75.14072933439746 -75.10947063356781
 -75.07473874375707 -75.06084598783278 -75.07473874375707
 -75.07126555477599 -75.0573727988517 -75.01395793658828
 -75.00874815311667 -74.98617242473969 -74.93407459002358
 -74.89413291674124 -74.84203508202513 -74.82293254262923
 -74.78993724730903 -74.76909811342259 -74.75694195198884 None]",1613.0,2057.483870967742
94,Major Highway,91,55,0,"[41.62490845874288 41.54849830115926 41.5311323562539 41.50855662787692
 41.48945408848101 41.444302631727055 41.402624363954175 41.36789247414344
 41.352263123728605 41.34010696229485 41.32621420637055 41.26196021022069
 41.24285767082478 None]","[-72.69039450825004 -72.7459655319472 -72.77027785481472
 -72.81890250054975 -72.83626844545512 -72.85710757934156
 -72.90573222507659 -72.9387275203968 -72.9578300597927 -72.99429854409398
 -73.01687427247096 -73.05507935126276 -73.07418189065866 None]",4280.0,18973.846153846152
95,Major Highway,95,81,0,"[41.34010696229485 41.3331605843327 41.31405804493679 41.30537507248411
 41.29669210003143 41.3001652890125 41.291482316559815 41.29495550554089
 41.30884826146519 41.310584855955724 41.29321891105035 41.2671699936923
 41.24285767082478 None]","[-72.34481220463321 -72.37433431097233 -72.39864663383985
 -72.42122236221682 -72.46116403549918 -72.7928535831917
 -72.86752714628479 -72.88315649669961 -72.90573222507659
 -72.9196249810009 -72.9578300597927 -72.99429854409398 -73.05160616228169
 None]",4167.0,19499.071428571428
96,Major Highway,81,53,0,"[42.13546723896071 42.191038262657884 42.21882377450647 42.243136097373984
 42.25702885329828 42.272658203713114 42.29002414861848 42.31780966046707
 42.335175605372434 42.40463938499391 42.46368359767216 42.49320570401129
 42.54530353872739 42.59219158997188 42.60608434589618 42.612958732757974
 None]","[-75.90309431574312 -75.9013577212526 -75.9065675047242 -75.9204602606485
 -75.9204602606485 -75.92914323310117 -75.92740663861063
 -75.96387512291192 -75.9777678788362 -76.01944614660908
 -76.03681209151446 -76.06459760336305 -76.08196354826842
 -76.12885159951291 -76.1618468948331 -76.16795746093248 None]",1530.0,10183.064516129032
97,Major Highway,88,224,0,"[42.15283318386607 42.161516156318754 42.16325275080929 42.19624804612949
 42.18409188469573 42.19451145163896 42.20319442409164 42.22750674695916
 42.2483458808456 42.291760743109016 42.29870712107117 42.31607306597653
 42.33691219986297 42.354278144768344 42.364697711711564 42.39074662906962
 42.4185321409182 42.44979084174787 42.45847381420055 42.48278613706807
 42.496678892992364 42.508835054426115 42.53314737729363 42.54009375525578
 42.54009375525578 42.547040133217926 42.580035428538125 42.6165039128394
 42.64602601917853 42.6494992081596 42.63560645223531 42.64602601917853
 42.670338342046044 42.67728472000819 42.71028001532839 42.7345923381959
 42.751958283101274 42.76585103902556 42.79334260886269 None]","[-75.9013577212526 -75.86315264246078 -75.77979610691501
 -75.67733703197334 -75.60613665786133 -75.5714047680506 -75.5106239608818
 -75.49325801597644 -75.46894569310892 -75.46373590963731
 -75.3873257520537 -75.32307175590383 -75.2692373266972 -75.25187138179182
 -75.19456376360411 -75.14941230685015 -75.13551955092586
 -75.09210468866243 -75.00701155862613 -74.9722796688154
 -74.91844523960876 -74.90976226715607 -74.90628907817499
 -74.89934270021286 -74.83856189304406 -74.812512975686 -74.76215173546045
 -74.67358541644306 -74.63885352663233 -74.59891185334999
 -74.56417996353925 -74.5242382902569 -74.46866726655972
 -74.39746689244771 -74.29153462852497 -74.18733895909276
 -74.14913388030095 -74.07793350618894 -74.01951392028506 None]",1530.0,10183.064516129032
98,Major Highway,81,73,0,"[42.118101294055336 42.02432519156635 41.98959330175561 41.87845125436126
 41.86976828190857 41.852402337003205 41.82635341964515 41.770782395947975
 41.72389434470348 41.678742887949525 41.65443056508201 41.64227440364825
 41.61969867527127 41.5311323562539 41.49292727746209 41.47729792704725
 41.46687836010403 41.45819538765135 41.44603922621759 41.42867328131222
 41.42520009233115 None]","[-75.82321096917843 -75.77632291793394 -75.74506421710427
 -75.72769827219891 -75.6947029768787 -75.68254681544495
 -75.67907362646388 -75.68428340993549 -75.66865405952066
 -75.68428340993549 -75.66344427604905 -75.65997108706797
 -75.64434173665315 -75.66170768155851 -75.67907362646388
 -75.67907362646388 -75.66344427604905 -75.65997108706797
 -75.63565876420046 -75.62176600827617 -75.6096098468424 None]",1530.0,10183.064516129032
99,Major Highway,99,43,0,"[40.93895363498085 40.879909422302596 40.84344093800132 40.819128615133806
 40.81391883166219 40.819128615133806 40.841704343510784 40.83649456003917
 40.819128615133806 40.797262531937655 None]","[-77.73172831427839 -77.7421478812216 -77.8029286883904 -77.86370949555918
 -77.8880218184267 -77.91580733027529 -77.95748559804817
 -77.99395408234945 -78.02868597216018 -78.06077973943194 None]",4536.0,3956.83870967742
100,Major Highway,93,75,0,"[43.425756945429555 43.45527905176868 43.47611818565512 43.50043050852263
 43.507376886484785 43.53516239833337 43.57510407161572 43.590733422030546
 43.60636277244538 43.63414828429397 43.70708525289651 43.776549032517984
 43.80259794987604 43.846012812139456 43.85295919010161 43.865115351535366
 43.91026680828932 43.936315725647376 43.96236464300542 43.98667696587294
 44.04572117855119 44.12734111960642 44.16901938737931 44.193331710246824
 None]","[-71.59113019574023 -71.56681787287272 -71.57202765634433
 -71.61023273513614 -71.61196932962667 -71.60675954615506
 -71.61544251860775 -71.61370592411721 -71.63280846351311
 -71.64322803045634 -71.65017440841848 -71.68490629822922
 -71.68664289271976 -71.65364759739956 -71.65538419189009
 -71.67622332577653 -71.70053564864405 -71.69879905415351
 -71.68316970373868 -71.67795992026707 -71.67795992026707
 -71.67101354230493 -71.67795992026707 -71.69706245966297 None]",4957.0,39901.23333333333
101,Major Highway,101,66,0,"[42.95861302747515 42.97424237788998 43.007237673210184 43.01244745668179
 43.038496374039845 43.04196956302092 43.0645452913979 43.05759891343575
 43.059335507926285 43.04370615751145 43.038496374039845
 43.028076807096625 43.00376448422911 42.984661944833206 None]","[-70.8582873207337 -70.90517537197819 -70.95206342322268
 -71.02152720284415 -71.12919606125745 -71.1934500574073
 -71.24902108110449 -71.25770405355716 -71.29069934887737
 -71.30806529378273 -71.33411421114079 -71.36189972298938
 -71.41052436872441 -71.4244171246487 None]",4957.0,39901.23333333333
102,Major Highway,89,137,0,"[43.64456785123719 43.701875469424905 43.753973304141006 43.79044178844228
 43.79044178844228 43.81996389478141 43.81128092232872 43.81301751681926
 43.81822730029087 43.825173678253016 43.83906643417731 43.88074470195019
 43.92068637523254 43.96062804851489 44.007516099759385 44.030091828136364
 44.05440415100388 44.13776068654964 44.1829121433036 44.24716613945346
 44.31315673009386 44.32183970254655 44.34962521439513 44.358308186847815
 44.365254564809966 44.36004478133835 44.386093698696406 44.39477667114909
 44.40345964360177 44.42082558850714 44.43124515545036 44.439928127903045
 44.45382088382734 None]","[-72.38996366138717 -72.405593011802 -72.45074446855595 -72.45595425202757
 -72.49763251980045 -72.53062781512065 -72.54973035451656
 -72.5618865159503 -72.56883289391246 -72.56709629942192
 -72.59140862228944 -72.61572094515695 -72.61398435066641
 -72.62440391760964 -72.62440391760964 -72.61919413413803
 -72.60530137821372 -72.60182818923265 -72.57925246085567
 -72.58619883881782 -72.69386769723111 -72.72512639806077
 -72.75812169338097 -72.77548763828634 -72.806746339116 -72.8258488785119
 -72.90225903609553 -72.96130324877377 -72.98735216613183
 -72.99950832756558 -73.03424021737632 -73.14885545375175
 -73.18706053254355 None]",4943.0,4100.354838709677
